date,Rail Runner PdN Trail PED Westbound,Rail Runner PdN Trail PED Eastbound,Rail Runner PdN Trail Bicycle Eastbound,Erna Fergusson PED Eastbound,Erna Fergusson PED Westbound,Erna Fergusson Bicycle Eastbound,Erna Fergusson Bicycle Westbound,Paseo del Bosque-North of Montano Pedestrians South,Paseo del Bosque-North of Montano Pedestrians North,Paseo del Bosque-North of Montano Cyclists South,Paseo del Bosque-North of Montano Cyclists North,Paseo del Bosque-Tingley Beach Pedestrians IN NORTH,Paseo del Bosque-Tingley Beach Pedestrians OUT SOUTH,Paseo del Bosque-Tingley Beach Cyclists IN NORTH,Paseo del Bosque-Tingley Beach Cyclists OUT SOUTH,North Diversion Channel-Journal Central Pedestrians IN NORTH,North Diversion Channel-Journal Central Pedestrians OUT SOUTH,North Diversion Channel-Journal Central Cyclists IN NORTH,North Diversion Channel-Journal Central Cyclists OUT SOUTH,North Diversion Channel-Indian School  Pedestrians SOUTH,North Diversion Channel-Indian School  Pedestrians NORTH,North Diversion Channel-Indian School  Cyclists SOUTH,North Diversion Channel-Indian School  Cyclists NORTH,Channel 1 IN,Channel 2 OUT,Paseo de las Montanas-South of I-40/Jerry Cline Cyclists IN WEST,Channel 4 OUT
2019-01,752.0,284.0,1045.0,2790.0,1647.0,694.0,626.0,1430.0,1439.0,2810.0,2580.0,1772.0,1831.0,2398.0,2461.0,946.0,930.0,1674.0,1673.0,1174.0,1077.0,1950.0,2007.0,2003.0,1575.0,306.0,681.0
2019-02,283.0,263.0,1099.0,2394.0,1320.0,695.0,658.0,1453.0,1353.0,3033.0,2965.0,2084.0,1736.0,2606.0,2413.0,921.0,882.0,1897.0,1778.0,1043.0,958.0,2071.0,2154.0,2055.0,1407.0,297.0,785.0
2019-03,422.0,390.0,1877.0,3097.0,1834.0,1033.0,978.0,3089.0,2246.0,5619.0,5538.0,2423.0,2470.0,3181.0,3113.0,1511.0,1253.0,2993.0,2819.0,1464.0,1307.0,2755.0,2801.0,3415.0,2305.0,492.0,1224.0
2019-04,455.0,426.0,2109.0,2676.0,2054.0,1359.0,1301.0,2716.0,2216.0,7281.0,7250.0,3676.0,3647.0,7195.0,7222.0,1958.0,1498.0,3469.0,3203.0,1569.0,1318.0,3184.0,3044.0,3488.0,2427.0,793.0,1478.0
2019-05,471.0,433.0,2327.0,2386.0,1999.0,1571.0,1527.0,2527.0,2100.0,7836.0,7803.0,4706.0,4162.0,8527.0,8394.0,2405.0,1517.0,3566.0,3468.0,1246.0,972.0,3451.0,3144.0,3410.0,2525.0,993.0,1516.0
2019-06,590.0,410.0,2820.0,2272.0,1913.0,1752.0,1673.0,2800.0,2154.0,9641.0,9432.0,4835.0,4521.0,9692.0,9211.0,7048.0,1999.0,4121.0,4082.0,2394.0,1489.0,4093.0,2885.0,2651.0,2444.0,2059.0,1835.0
2019-07,3924.0,397.0,2805.0,2315.0,1871.0,1817.0,1631.0,3085.0,2017.0,9886.0,9546.0,3640.0,3319.0,9729.0,9224.0,5416.0,1415.0,4503.0,4238.0,2886.0,2330.0,1502.0,967.0,2227.0,2097.0,2107.0,1846.0
2019-08,3444.0,414.0,2688.0,2223.0,1712.0,1869.0,1623.0,3401.0,2090.0,9524.0,9369.0,2755.0,2588.0,7750.0,7544.0,5152.0,1663.0,4241.0,3961.0,0.0,0.0,0.0,0.0,2188.0,2081.0,2162.0,1874.0
2019-09,3686.0,416.0,2579.0,2371.0,1975.0,1797.0,1612.0,3456.0,2354.0,8978.0,8813.0,3186.0,3259.0,8881.0,8870.0,3986.0,1551.0,3948.0,3869.0,0.0,0.0,0.0,0.0,2220.0,1990.0,2429.0,2359.0
2019-10,1429.0,1202.0,2780.0,2461.0,2058.0,1375.0,1345.0,3462.0,2710.0,8089.0,8087.0,3759.0,3988.0,6678.0,6660.0,3354.0,2374.0,6536.0,6199.0,0.0,0.0,0.0,0.0,2062.0,1611.0,1459.0,1383.0
2019-11,819.0,315.0,1455.0,1835.0,1529.0,896.0,781.0,1938.0,1587.0,4573.0,4426.0,2436.0,2367.0,4392.0,4254.0,1099.0,1047.0,2223.0,2216.0,0.0,0.0,0.0,0.0,2260.0,1490.0,516.0,978.0
2019-12,788.0,401.0,873.0,1709.0,1324.0,662.0,633.0,1495.0,1390.0,2579.0,2460.0,11764.0,2104.0,2285.0,2042.0,953.0,936.0,1532.0,1501.0,888.0,662.0,825.0,845.0,1838.0,1399.0,446.0,712.0
